ANSI,State,County,sqmiles,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
a18067,INDIANA,HOWARD,293.0578125,0,0,0,0,0,66000,67000,70800,62500
a18069,INDIANA,HUNTINGTON,382.653125,0,0,0,0,0,64200,62000,66700,66000
a18071,INDIANA,JACKSON,509.2609375,0,0,0,0,0,94900,70000,66300,64500
a18073,INDIANA,JASPER,559.61875,0,0,0,0,0,154400,143000,145000,171000
a18075,INDIANA,JAY,383.884375,0,0,0,0,0,48800,53400,70000,75000
a18077,INDIANA,JEFFERSON,360.7296875,0,0,0,0,0,30100,25600,14600,20000
a18079,INDIANA,JENNINGS,376.5796875,0,0,0,0,0,43800,39000,37200,42000
a18081,INDIANA,JOHNSON,320.4421875,0,0,0,0,0,68900,57500,57500,52000
a18083,INDIANA,KNOX,515.925,0,0,0,0,0,137100,100000,128000,125000
a18085,INDIANA,KOSCIUSKO,531.396875,0,0,0,0,0,124900,94100,97400,106000
a18091,INDIANA,LA PORTE,598.2890625,0,0,0,0,0,130700,119000,114000,119000
a18087,INDIANA,LAGRANGE,379.634375,0,0,0,0,0,75400,64400,60500,50000
a18089,INDIANA,LAKE,496.859375,0,0,0,0,0,69900,64700,64400,63000
a18093,INDIANA,LAWRENCE,448.775,0,0,0,0,0,31200,23500,18600,19500
a18095,INDIANA,MADISON,451.915625,0,0,0,0,0,99300,89400,92400,90000
a18097,INDIANA,MARION,396.375,0,0,0,0,0,17900,17100,9000,7500
a18099,INDIANA,MARSHALL,443.6296875,0,0,0,0,0,95500,86800,87700,91000
a18101,INDIANA,MARTIN,335.440625,0,0,0,0,0,22800,13700,15000,18000
a18103,INDIANA,MIAMI,373.8421875,0,0,0,0,0,85200,73200,74400,68000
a18105,INDIANA,MONROE,394.3125,0,0,0,0,0,10900,8200,5900,6100
a18107,INDIANA,MONTGOMERY,504.6125,0,0,0,0,0,140600,120000,113000,123000
a18109,INDIANA,MORGAN,403.96875,0,0,0,0,0,53100,48800,49400,47000
a18111,INDIANA,NEWTON,401.76875,0,0,0,0,0,120400,110000,108000,118000
a18113,INDIANA,NOBLE,410.84375,0,0,0,0,0,81100,66800,61800,63000
a18115,INDIANA,OHIO,86.140625,0,0,0,0,0,4600,2500,0,2700
a18117,INDIANA,ORANGE,398.3859375,0,0,0,0,0,39000,20800,20900,23100
a18119,INDIANA,OWEN,385.165625,0,0,0,0,0,27700,20800,18400,23000
a18121,INDIANA,PARKE,444.6546875,0,0,0,0,0,69900,70400,62200,66000
a18123,INDIANA,PERRY,381.415625,0,0,0,0,0,12700,10300,9600,11000
a18125,INDIANA,PIKE,334.2375,0,0,0,0,0,42100,31300,34000,35500
a18127,INDIANA,PORTER,418.1859375,0,0,0,0,0,68100,65500,62700,64000
a18129,INDIANA,POSEY,409.68125,0,0,0,0,0,91700,70000,84300,95000
a18131,INDIANA,PULASKI,433.653125,0,0,0,0,0,119500,111000,109000,114000
a18133,INDIANA,PUTNAM,480.3953125,0,0,0,0,0,79400,69200,67000,70000
a18135,INDIANA,RANDOLPH,452.38125,0,0,0,0,0,80800,66600,85600,96500
a18137,INDIANA,RIPLEY,446.4296875,0,0,0,0,0,59400,53700,48300,46000
a18139,INDIANA,RUSH,408.253125,0,0,0,0,0,107400,109000,103000,106000
a18143,INDIANA,SCOTT,190.3984375,0,0,0,0,0,22000,16400,14500,13500
a18145,INDIANA,SHELBY,411.140625,0,0,0,0,0,108400,98700,100000,103000
a18147,INDIANA,SPENCER,396.2015625,0,0,0,0,0,49700,46900,61600,63000
a18141,INDIANA,ST. JOSEPH,457.8125,0,0,0,0,0,74500,72400,71300,75000
a18149,INDIANA,STARKE,309.4453125,0,0,0,0,0,71900,65800,62900,63000
a18151,INDIANA,STEUBEN,308.6296875,0,0,0,0,0,59400,41900,36900,38000
a18153,INDIANA,SULLIVAN,447.2015625,0,0,0,0,0,70300,64900,71700,78500
a18155,INDIANA,SWITZERLAND,220.85625,0,0,0,0,0,8000,7000,0,7200
a18157,INDIANA,TIPPECANOE,499.8046875,0,0,0,0,0,115800,109000,101000,106000
a18159,INDIANA,TIPTON,260.5453125,0,0,0,0,0,80500,72000,72900,71000
a18161,INDIANA,UNION,161.2484375,0,0,0,0,0,38500,38800,32200,33500
a18163,INDIANA,VANDERBURGH,232.7265625,0,0,0,0,0,39600,34500,40000,31000
a18165,INDIANA,VERMILLION,256.8765625,0,0,0,0,0,44500,44000,37800,47000
a18167,INDIANA,VIGO,403.33125,0,0,0,0,0,47200,45900,52600,56000
a18169,INDIANA,WABASH,412.29375,0,0,0,0,0,85400,71000,73800,78000
a18171,INDIANA,WARREN,364.8890625,0,0,0,0,0,91700,80000,85800,95000
a18173,INDIANA,WARRICK,383.4875,0,0,0,0,0,41500,30900,38300,40500
a18175,INDIANA,WASHINGTON,513.5453125,0,0,0,0,0,64200,40400,37500,47000
a18177,INDIANA,WAYNE,401.76875,0,0,0,0,0,73500,64200,62400,65500
a18179,INDIANA,WELLS,368.0875,0,0,0,0,0,74300,54700,82000,77000
a18181,INDIANA,WHITE,505.115625,0,0,0,0,0,136300,131000,130000,156000
a18183,INDIANA,WHITLEY,335.49375,0,0,0,0,0,66400,50700,51400,58000
a18000,INDIANA,,36417.73,4493000,3934000,4406000,5393000,5110000,6450000,5600000,5700000,5900000
a19001,IOWA,ADAIR,569.271875,123630,88837,84000,101700,84600,120000,114000,105000,105500
a19003,IOWA,ADAMS,423.440625,82815,61815,56400,68900,59900,84000,64000,64000,71000
a19005,IOWA,ALLAMAKEE,639.553125,49120,43526,52600,62300,62400,85000,75000,73000,86000
a19007,IOWA,APPANOOSE,496.1484375,51968,30936,36000,46200,35500,42000,32000,30000,33000
a19009,IOWA,AUDUBON,442.965625,101436,79190,76900,100200,91500,135000,111000,105000,112500
a19011,IOWA,BENTON,716.428125,150694,120414,140000,182700,154200,187000,180000,178000,197500
a19013,IOWA,BLACK HAWK,565.7515625,114026,89305,105400,143200,117900,156000,152000,140000,147000
a19015,IOWA,BOONE,571.5734375,144580,113937,118600,146900,122600,156000,140000,141000,167000
a19017,IOWA,BREMER,435.4765625,74223,65202,76700,102500,86700,122000,119000,113000,124500
a19019,IOWA,BUCHANAN,571.021875,111686,91433,106400,136900,115600,169000,181000,152000,190500
a19021,IOWA,BUENA VISTA,574.865625,150160,116999,124300,161900,145600,176000,160000,164000,165000
a19023,IOWA,BUTLER,580.1375,119508,101889,118000,154700,130700,174000,157000,148000,170500
a19025,IOWA,CALHOUN,569.975,154835,116776,125400,152800,126800,161000,161000,169000,182000
a19027,IOWA,CARROLL,569.234375,142540,116182,121000,153800,153300,190000,167000,161000,187000
a19029,IOWA,CASS,564.271875,132436,104692,95700,118700,113100,148000,131000,123000,137500
a19031,IOWA,CEDAR,579.434375,110680,97348,114800,147900,143200,182000,176000,140000,162000
a19033,IOWA,CERRO GORDO,568.315625,116981,101492,113900,165100,120800,164000,168000,159000,181000
a19035,IOWA,CHEROKEE,576.91875,141115,115335,113300,154900,137700,160000,149000,144000,150500
a19037,IOWA,CHICKASAW,504.3859375,77679,71614,86500,114500,87300,129000,128000,131000,147000
a19039,IOWA,CLARKE,431.16875,66684,40705,43100,48000,33800,50000,40000,30000,35500
a19041,IOWA,CLAY,567.24375,133280,106585,114900,154300,125800,164000,139000,147000,159000
a19043,IOWA,CLAYTON,778.796875,85212,68879,81700,101900,117400,155000,144000,141000,153000
a19045,IOWA,CLINTON,694.9046875,131861,114112,137200,175700,173500,216000,196000,179000,197000
a19047,IOWA,CRAWFORD,714.1953125,163210,139236,132900,163500,138700,191000,173000,175000,202500
a19049,IOWA,DALLAS,588.440625,147598,113527,117100,143400,121900,165000,140000,131000,138500
a19051,IOWA,DAVIS,502.1953125,49912,34460,37300,48000,47000,59000,44000,34000,44000
a19053,IOWA,DECATUR,531.859375,69840,41012,46700,52000,40700,56000,34000,27000,30000
a19055,IOWA,DELAWARE,577.690625,99278,81014,98000,126800,129000,177000,184000,169000,199000
a19057,IOWA,DES MOINES,416.1046875,66809,54547,56000,77200,67100,95000,76000,74000,75500
a19059,IOWA,DICKINSON,381.0890625,85868,65459,73700,105700,80000,102000,88000,89000,92500
a19061,IOWA,DUBUQUE,608.1828125,75290,60707,75900,95800,102900,135000,120000,124000,141000
a19063,IOWA,EMMET,395.8734375,92916,75791,79300,110200,88800,115000,104000,117000,116000
a19065,IOWA,FAYETTE,730.81875,106661,92942,113800,150300,134000,198000,201000,182000,193000
a19067,IOWA,FLOYD,500.6375,103300,91685,101700,139400,102300,136000,135000,136000,148000
a19069,IOWA,FRANKLIN,581.978125,142804,113907,135300,183900,133800,183000,173000,169000,199500
a19071,IOWA,FREMONT,511.1546875,159085,121407,121400,146000,99800,115000,114000,111000,109500
a19073,IOWA,GREENE,568.6359375,159706,126847,132300,167700,135200,170000,152000,160000,176000
a19075,IOWA,GRUNDY,501.8625,111487,93810,105300,144700,134500,161000,162000,155000,156500
a19077,IOWA,GUTHRIE,590.621875,125923,97229,93300,106300,90500,120000,108000,108000,114500
a19079,IOWA,HAMILTON,576.575,150518,119775,134400,175300,140500,172000,162000,165000,200500
a19081,IOWA,HANCOCK,571.0625,130412,108760,120100,167500,127400,173000,164000,168000,190000
a19083,IOWA,HARDIN,569.384375,138772,106640,118200,163500,135300,176000,169000,161000,186000
a19085,IOWA,HARRISON,696.828125,193427,147014,148200,178000,130900,176000,158000,157000,180500
a19087,IOWA,HENRY,434.3375,69586,56144,64200,87300,81100,107000,91000,83000,81000
a19089,IOWA,HOWARD,473.253125,63301,60362,77800,97200,71000,115000,108000,114000,130500
a19091,IOWA,HUMBOLDT,434.35625,111951,89279,97800,125800,102200,131000,125000,130000,135000
a19093,IOWA,IDA,431.5125,108111,91285,89600,110400,102900,138000,130000,114000,121000
a19095,IOWA,IOWA,586.4609375,105708,81314,100600,120700,96700,152000,129000,114000,120500
a19097,IOWA,JACKSON,636.0671875,68385,56815,70200,88700,90100,118000,105000,94000,108000
a19099,IOWA,JASPER,730.421875,155282,118288,128700,163200,144000,180000,170000,159000,173000
a19101,IOWA,JEFFERSON,435.5109375,64213,47764,56400,69700,57900,77000,75000,65000,69500
a19103,IOWA,JOHNSON,614.140625,110236,91382,107300,122200,107200,150000,124000,108000,110500
a19105,IOWA,JONES,575.6328125,87428,72154,91100,121800,117900,148000,152000,138000,158000
a19107,IOWA,KEOKUK,579.196875,105583,81055,92300,112000,97500,135000,117000,101000,121000
a19109,IOWA,KOSSUTH,972.734375,236876,189274,203700,272600,224400,283000,278000,306000,311000
a19111,IOWA,LEE,517.4421875,58326,45704,52500,77800,93300,88000,77000,79000,75000
a19113,IOWA,LINN,717.046875,127593,108638,124500,157600,135200,155000,152000,139000,150000
a19115,IOWA,LOUISA,401.76875,71779,57279,65500,85500,77900,98000,90000,78000,82500
a19117,IOWA,LUCAS,430.746875,59393,36478,37000,44600,38000,50000,33000,24000,28500
a19119,IOWA,LYON,587.65625,146385,115969,127900,167200,149400,177000,150000,158000,175500
a19121,IOWA,MADISON,561.009375,101621,73259,71000,88200,70700,92000,76000,64000,69500
a19123,IOWA,MAHASKA,570.9875,114079,87203,100100,118600,109600,145000,125000,119000,131000
a19125,IOWA,MARION,554.3171875,102277,74230,80900,93000,74800,93000,79000,74000,81500
a19127,IOWA,MARSHALL,572.309375,125519,100000,110700,147300,136800,165000,156000,139000,151500
a19129,IOWA,MILLS,437.453125,127642,94833,96800,124400,84600,109000,100000,99000,99000
a19131,IOWA,MITCHELL,468.946875,79116,70702,90000,127400,98000,131000,130000,137000,152500
a19133,IOWA,MONONA,693.1671875,171990,139477,137100,176000,143200,184000,168000,164000,172500
a19135,IOWA,MONROE,433.478125,48864,33316,35300,39300,31300,42000,30000,27000,30000
a19137,IOWA,MONTGOMERY,424.1,106465,80113,78700,102100,82900,103000,90000,89000,92000
a19139,IOWA,MUSCATINE,437.471875,77592,65879,73600,96500,82600,105000,98000,90000,93500
a19141,IOWA,O BRIEN,573.0359375,140862,112257,115000,159900,147800,166000,162000,160000,166500
a19143,IOWA,OSCEOLA,398.6875,96292,73544,84600,114600,95900,117000,109000,115000,118500
a19145,IOWA,PAGE,534.9453125,129777,96195,95700,122500,94900,118000,103000,101000,110000
a19147,IOWA,PALO ALTO,563.85,137136,109078,121700,163500,127900,167000,154000,159000,182000
a19149,IOWA,PLYMOUTH,862.95,221568,190190,190900,245900,215300,251000,224000,218000,228000
a19151,IOWA,POCAHONTAS,577.240625,156836,118331,126400,160800,130300,173000,161000,175000,178500
a19153,IOWA,POLK,574.38125,121223,90463,98100,116500,97400,113000,102000,89000,87000
a19155,IOWA,POTTAWATTAMIE,950.2734375,259549,202556,204700,264800,204100,259000,239000,225000,232000
a19157,IOWA,POWESHIEK,584.94375,124057,90551,101800,126900,96100,136000,125000,122000,144000
a19159,IOWA,RINGGOLD,535.5,83012,52256,53300,65000,50300,73000,48000,43000,51500
a19161,IOWA,SAC,575.021875,133844,116063,118900,155400,149500,179000,156000,158000,171500
a19163,IOWA,SCOTT,458.0890625,80242,72436,84800,112400,115800,141000,127000,108000,113000
a19165,IOWA,SHELBY,590.7984375,153098,113821,124500,160900,138300,194000,177000,159000,176000
a19167,IOWA,SIOUX,768.0203125,197744,166275,176000,246800,237500,265000,242000,237000,248000
a19169,IOWA,STORY,572.8234375,155706,117152,127900,168000,131800,173000,164000,153000,166000
a19171,IOWA,TAMA,721.2109375,136290,109296,126000,159800,147900,179000,184000,158000,168000
a19173,IOWA,TAYLOR,531.903125,102766,71466,67900,78000,60200,88000,69000,68000,78500
a19175,IOWA,UNION,423.65,72421,49650,48800,61000,44500,62000,53000,51000,53500
a19177,IOWA,VAN BUREN,484.79375,47888,32894,36900,49300,43700,61000,48000,41000,48500
a19179,IOWA,WAPELLO,431.834375,61298,43528,47200,58000,48400,67000,58000,56000,57500
a19181,IOWA,WARREN,569.828125,97341,71705,71700,90000,68600,92000,81000,67000,68000
a19183,IOWA,WASHINGTON,568.825,103200,87097,103300,127700,117100,153000,139000,113000,124500
a19185,IOWA,WAYNE,525.40625,78220,44077,52300,64100,53800,68000,50000,45000,54000
a19187,IOWA,WEBSTER,715.6234375,175621,140650,151000,182300,142600,191000,182000,189000,212000
a19189,IOWA,WINNEBAGO,400.5578125,83716,71238,83100,118000,81000,118000,121000,127000,122000
a19191,IOWA,WINNESHIEK,689.878125,90356,72083,92000,111000,108600,156000,135000,139000,153500
a19193,IOWA,WOODBURY,872.915625,239478,191593,183600,221200,176000,269000,216000,184000,214000
a19195,IOWA,WORTH,400.128125,70509,64802,72400,106200,78900,118000,106000,112000,119000
a19197,IOWA,WRIGHT,580.4953125,153684,118585,131500,169500,134400,182000,162000,173000,176500
a19000,IOWA,,56271.55,11449000,9051000,9837000,12658000,10760000,14000000,12800000,12300000,13400000
a20001,KANSAS,ALLEN,500.3,0,0,0,45000,18000,10400,7300,14300,33000
a20003,KANSAS,ANDERSON,579.65625,0,0,0,42000,35000,21900,17000,27300,46500
a20005,KANSAS,ATCHISON,432.1453125,0,0,0,43000,36000,24000,26400,48400,63000
a20007,KANSAS,BARBER,1134.079688,0,0,0,2500,600,600,800,2700,8000
a20009,KANSAS,BARTON,895.4,0,0,0,1000,4000,10500,20300,35300,34500
a20011,KANSAS,BOURBON,635.4703125,0,0,0,38000,17000,12000,4600,8700,0
a20013,KANSAS,BROWN,570.5515625,0,0,0,107000,91000,72000,54200,94900,116000
a20015,KANSAS,BUTLER,1427.732813,0,0,0,19000,8000,6000,6100,16100,63000
a20017,KANSAS,CHASE,773.0765625,0,0,0,7500,8000,5300,3800,6500,0
a20019,KANSAS,CHAUTAUQUA,638.878125,0,0,0,4500,1000,600,500,800,0
a20021,KANSAS,CHEROKEE,587.0546875,0,0,0,28000,14000,5000,3300,16600,57500
a20023,KANSAS,CHEYENNE,1019.960938,0,0,0,14000,21000,20000,22700,45800,64000
a20025,KANSAS,CLARK,974.6296875,0,0,0,300,300,1000,200,900,0
a20027,KANSAS,CLAY,645.2578125,0,0,0,37000,17000,15100,12500,20400,28000
a20029,KANSAS,CLOUD,715.5265625,0,0,0,28000,16000,10000,11600,20100,26000
a20031,KANSAS,COFFEY,627.1,0,0,0,33000,23000,13800,11700,20200,31000
a20033,KANSAS,COMANCHE,788.3,0,0,0,600,400,100,2100,2400,2500
a20035,KANSAS,COWLEY,1126.128125,0,0,0,7500,3000,1500,2400,4100,19500
a20037,KANSAS,CRAWFORD,589.7546875,0,0,0,45000,18000,7500,10000,22300,46500
a20039,KANSAS,DECATUR,893.5328125,0,0,0,20000,10000,11100,18600,65500,115000
a20041,KANSAS,DICKINSON,847.0640625,0,0,0,46000,11000,10600,9700,9400,19500
a20043,KANSAS,DONIPHAN,392.525,0,0,0,61000,80000,68000,59700,69900,83000
a20045,KANSAS,DOUGLAS,455.8671875,0,0,0,37000,27000,26700,17800,26200,25000
a20047,KANSAS,EDWARDS,621.890625,0,0,0,3100,1700,18000,49000,76900,72000
a20049,KANSAS,ELK,644.2546875,0,0,0,11000,3000,600,300,2500,6100
a20051,KANSAS,ELLIS,899.8734375,0,0,0,250,3000,1100,200,4000,0
a20053,KANSAS,ELLSWORTH,715.8421875,0,0,0,2500,1000,500,700,1300,0
a20055,KANSAS,FINNEY,1301.7375,0,0,0,11000,45000,90000,63000,100500,122000
a20057,KANSAS,FORD,1098.290625,0,0,0,2000,9000,30000,26400,55800,57000
a20059,KANSAS,FRANKLIN,571.7546875,0,0,0,34000,27000,21600,14000,23800,34000
a20061,KANSAS,GEARY,384.615625,0,0,0,13000,3000,2700,1700,5900,10500
a20063,KANSAS,GOVE,1071.689063,0,0,0,1300,5000,8700,5200,52200,104000
a20065,KANSAS,GRAHAM,898.3671875,0,0,0,1900,3000,5000,3200,36700,54000
a20067,KANSAS,GRANT,574.78125,0,0,0,2500,31000,33000,33800,61200,0
a20069,KANSAS,GRAY,868.8671875,0,0,0,1800,30000,78000,60300,110700,98000
a20071,KANSAS,GREELEY,778.4546875,0,0,0,600,13000,11000,16200,33000,41000
a20073,KANSAS,GREENWOOD,1139.823438,0,0,0,16000,6000,4000,2700,7400,9400
a20075,KANSAS,HAMILTON,996.503125,0,0,0,550,5500,5500,5200,21300,19000
a20077,KANSAS,HARPER,801.2640625,0,0,0,700,1000,300,1000,900,0
a20079,KANSAS,HARVEY,539.7296875,0,0,0,13000,5000,9200,16100,19800,54000
a20081,KANSAS,HASKELL,577.5359375,0,0,0,7000,44000,90000,74300,134700,103000
a20083,KANSAS,HODGEMAN,859.990625,0,0,0,150,6000,4400,7300,15800,0
a20085,KANSAS,JACKSON,655.7765625,0,0,0,55000,37000,17600,14000,25300,32000
a20087,KANSAS,JEFFERSON,532.590625,0,0,0,55000,49000,35500,23900,35800,41000
a20089,KANSAS,JEWELL,909.80625,0,0,0,27000,17000,8500,8600,16100,28000
a20091,KANSAS,JOHNSON,473.3640625,0,0,0,35000,25000,16000,8900,12100,0
a20093,KANSAS,KEARNY,870.5484375,0,0,0,1000,18000,42000,29000,60100,0
a20095,KANSAS,KINGMAN,863.3609375,0,0,0,4000,2000,2200,5900,8900,0
a20097,KANSAS,KIOWA,722.63125,0,0,0,850,800,8500,15800,28200,33000
a20099,KANSAS,LABETTE,645.2953125,0,0,0,28000,16000,7000,2900,7400,44500
a20101,KANSAS,LANE,717.453125,0,0,0,1400,9000,6800,6100,17900,0
a20103,KANSAS,LEAVENWORTH,462.89375,0,0,0,35000,29000,20200,17200,19900,0
a20105,KANSAS,LINCOLN,719.3796875,0,0,0,7000,3000,2000,600,3600,9500
a20107,KANSAS,LINN,594.021875,0,0,0,44000,22000,8200,5800,10500,16000
a20109,KANSAS,LOGAN,1072.989063,0,0,0,1300,8000,7500,7100,36800,76000
a20111,KANSAS,LYON,847.4640625,0,0,0,32000,23000,17000,13300,27300,30500
a20115,KANSAS,MARION,944.2984375,0,0,0,34000,10000,8100,10900,15000,40000
a20117,KANSAS,MARSHALL,900.190625,0,0,0,96000,20000,12400,19200,42100,93000
a20113,KANSAS,MCPHERSON,898.29375,0,0,0,15000,9000,12000,13600,20400,40000
a20119,KANSAS,MEADE,978.1125,0,0,0,1000,11000,19000,29800,82500,0
a20121,KANSAS,MIAMI,575.6765625,0,0,0,47000,36000,15000,10100,14200,19500
a20123,KANSAS,MITCHELL,699.915625,0,0,0,4400,4000,3500,3400,11700,22000
a20125,KANSAS,MONTGOMERY,643.4890625,0,0,0,31000,13000,10000,4800,13300,33500
a20127,KANSAS,MORRIS,695.275,0,0,0,20000,11000,4500,4300,9400,20500
a20129,KANSAS,MORTON,729.728125,0,0,0,900,4200,4700,6100,26700,32000
a20131,KANSAS,NEMAHA,717.428125,0,0,0,98000,52000,29500,20200,56400,96000
a20133,KANSAS,NEOSHO,571.5203125,0,0,0,39000,20000,7100,4800,11800,34000
a20135,KANSAS,NESS,1074.735938,0,0,0,1300,3000,500,300,7500,0
a20137,KANSAS,NORTON,878.134375,0,0,0,18000,7000,5400,13000,58400,92000
a20139,KANSAS,OSAGE,704.134375,0,0,0,31000,18000,10900,5200,19600,39000
a20141,KANSAS,OSBORNE,892.453125,0,0,0,4400,7000,3800,1400,8100,27000
a20143,KANSAS,OTTAWA,720.759375,0,0,0,7000,4000,2400,1000,4100,9000
a20145,KANSAS,PAWNEE,754.2609375,0,0,0,1800,6500,8600,16500,40500,50000
a20147,KANSAS,PHILLIPS,885.8765625,0,0,0,13000,8000,5000,4000,29300,46000
a20149,KANSAS,POTTAWATOMIE,841.0125,0,0,0,38000,28000,19000,12700,26600,37000
a20151,KANSAS,PRATT,734.9453125,0,0,0,1600,3900,20000,40500,67800,69000
a20153,KANSAS,RAWLINS,1069.403125,0,0,0,10000,9000,5200,8300,54800,97000
a20155,KANSAS,RENO,1255.05,0,0,0,2500,1600,8500,14700,25300,44000
a20157,KANSAS,REPUBLIC,717.359375,0,0,0,68000,45000,42000,44400,67000,75000
a20159,KANSAS,RICE,726.275,0,0,0,1500,3000,9800,11000,25600,39000
a20161,KANSAS,RILEY,609.4109375,0,0,0,28000,10000,7500,5700,10000,16500
a20163,KANSAS,ROOKS,890.55,0,0,0,1700,2000,1400,700,16600,16500
a20165,KANSAS,RUSH,717.78125,0,0,0,1200,3000,2000,1500,7500,10000
a20167,KANSAS,RUSSELL,885.134375,0,0,0,1100,1000,600,300,1600,7000
a20169,KANSAS,SALINE,719.665625,0,0,0,8500,3000,4100,3200,4300,8000
a20171,KANSAS,SCOTT,717.54375,0,0,0,6000,31000,28200,18400,58200,68000
a20173,KANSAS,SEDGWICK,997.2859375,0,0,0,16000,11000,14000,14300,21300,44000
a20175,KANSAS,SEWARD,639.415625,0,0,0,3600,17000,14100,25800,65700,74000
a20177,KANSAS,SHAWNEE,544.021875,0,0,0,41000,32000,31200,20400,28600,36500
a20179,KANSAS,SHERIDAN,895.959375,0,0,0,5000,19000,45000,40500,117200,155000
a20181,KANSAS,SHERMAN,1056.067188,0,0,0,8500,36000,53000,42000,99800,145000
a20183,KANSAS,SMITH,895.4640625,0,0,0,26000,12000,5300,3200,16400,41500
a20185,KANSAS,STAFFORD,792.034375,0,0,0,2800,2000,15000,35500,80800,77000
a20187,KANSAS,STANTON,680.34375,0,0,0,6000,40000,39500,40800,78100,71000
a20189,KANSAS,STEVENS,727.290625,0,0,0,4400,20000,20000,38000,117000,130000
a20191,KANSAS,SUMNER,1181.9625,0,0,0,9000,2500,2000,3800,8500,41000
a20193,KANSAS,THOMAS,1074.670313,0,0,0,5500,22000,54000,56700,142800,228000
a20195,KANSAS,TREGO,893.303125,0,0,0,2500,4000,1300,700,14600,23000
a20197,KANSAS,WABAUNSEE,794.33125,0,0,0,18000,14000,13000,8000,14400,25000
a20199,KANSAS,WALLACE,913.6609375,0,0,0,2500,19000,42300,28000,48900,69000
a20201,KANSAS,WASHINGTON,894.75625,0,0,0,53000,20000,21000,17200,38200,61000
a20203,KANSAS,WICHITA,718.5609375,0,0,0,5500,51000,42000,24000,45900,56000
a20205,KANSAS,WILSON,570.4140625,0,0,0,37000,12000,5100,3200,7500,41500
a20207,KANSAS,WOODSON,497.828125,0,0,0,17000,5000,3000,3100,12200,23000
a20209,KANSAS,WYANDOTTE,151.5390625,0,0,0,6000,6000,2200,1800,2700,0
a20000,KANSAS,,82276.84,7150000,3051000,2608000,2016000,1689000,1700000,1600000,3450000,4850000
a21001,KENTUCKY,ADAIR,405.06875,0,0,0,0,10000,18000,12000,8100,7300
a21003,KENTUCKY,ALLEN,344.4015625,0,0,0,0,6000,17000,6000,3600,3600
a21005,KENTUCKY,ANDERSON,201.1140625,0,0,0,0,2700,3500,1500,900,0
a21007,KENTUCKY,BALLARD,246.84375,0,0,0,0,11300,15500,16000,29000,29500
a21009,KENTUCKY,BARREN,487.6296875,0,0,0,0,20500,33500,20000,16500,20400
a21011,KENTUCKY,BATH,278.7296875,0,0,0,0,4500,8500,6500,2600,1500
a21013,KENTUCKY,BELL,359.196875,0,0,0,0,300,600,0,0,0
a21015,KENTUCKY,BOONE,246.3828125,0,0,0,0,6200,7500,4400,2500,2300
a21017,KENTUCKY,BOURBON,289.765625,0,0,0,0,14200,19000,10000,5200,2400
a21019,KENTUCKY,BOYD,159.6515625,0,0,0,0,700,800,0,0,0
a21021,KENTUCKY,BOYLE,180.7546875,0,0,0,0,6600,9000,6000,3800,2500
a21023,KENTUCKY,BRACKEN,205.64375,0,0,0,0,1200,3500,1500,1100,0
a21025,KENTUCKY,BREATHITT,492.41875,0,0,0,0,1000,1300,1100,0,0
a21027,KENTUCKY,BRECKINRIDGE,567.0109375,0,0,0,0,17000,46500,27000,15000,20000
a21029,KENTUCKY,BULLITT,296.9078125,0,0,0,0,5500,6000,3000,3000,2300
a21031,KENTUCKY,BUTLER,426.1375,0,0,0,0,9600,27000,18000,17200,14500
a21033,KENTUCKY,CALDWELL,344.8546875,0,0,0,0,15800,24000,18000,22900,24500
a21035,KENTUCKY,CALLOWAY,385.1671875,0,0,0,0,21700,29500,36000,36900,36000
a21037,KENTUCKY,CAMPBELL,151.290625,0,0,0,0,1300,2500,1000,700,0
a21039,KENTUCKY,CARLISLE,189.290625,0,0,0,0,6200,10500,17500,24800,26000
a21041,KENTUCKY,CARROLL,128.6421875,0,0,0,0,2000,2800,1700,1000,0
a21043,KENTUCKY,CARTER,409.4578125,0,0,0,0,2800,2400,1700,1000,700
a21045,KENTUCKY,CASEY,444.3546875,0,0,0,0,7400,15000,11000,5000,6200
a21047,KENTUCKY,CHRISTIAN,717.5203125,0,0,0,0,51000,53000,55000,77900,85000
a21049,KENTUCKY,CLARK,252.578125,0,0,0,0,4400,9000,5000,4400,1900
a21051,KENTUCKY,CLAY,469.00625,0,0,0,0,1900,3000,1100,700,800
a21053,KENTUCKY,CLINTON,197.303125,0,0,0,0,4100,6500,2000,1500,1200
a21055,KENTUCKY,CRITTENDEN,359.8515625,0,0,0,0,10600,19000,11000,12000,15500
a21057,KENTUCKY,CUMBERLAND,305.090625,0,0,0,0,4900,6500,3000,2000,0
a21059,KENTUCKY,DAVIESS,457.4515625,0,0,0,0,46500,54000,78000,80000,68000
a21061,KENTUCKY,EDMONSON,302.684375,0,0,0,0,5500,8000,6000,2500,2700
a21063,KENTUCKY,ELLIOTT,234.2921875,0,0,0,0,1500,800,0,0,0
a21065,KENTUCKY,ESTILL,253.1921875,0,0,0,0,1900,4000,2400,1500,600
a21067,KENTUCKY,FAYETTE,283.7671875,0,0,0,0,7300,9000,6500,4600,2300
a21069,KENTUCKY,FLEMING,348.625,0,0,0,0,9200,17000,13500,7000,2400
a21071,KENTUCKY,FLOYD,393.075,0,0,0,0,700,800,0,0,0
a21073,KENTUCKY,FRANKLIN,207.70625,0,0,0,0,3200,3500,1400,1000,0
